Datetime	        Return	        TC	        PWMA	        CFO
2025-01-11 00:00:00	-0.001424	0.208916	97868.896652	0.258880
2025-01-12 00:00:00	-0.000826	0.227448	96498.779694	0.965119
2025-01-13 00:00:00	0.000297	0.266696	95179.870712	1.376100
2025-01-14 00:00:00	0.021346	0.264766	94468.014481	2.859309
2025-01-15 00:00:00	0.041130	0.312950	94377.572174	4.668937
2025-01-16 00:00:00	-0.007438	0.376763	94680.677368	1.535539
2025-01-17 00:00:00	0.047166	0.369186	95359.701157	2.970358
2025-01-18 00:00:00	-0.000517	0.342675	96556.225571	0.690178
2025-01-19 00:00:00	-0.031784	0.231916	98231.648849	-2.727399
2025-01-20 00:00:00	0.009171	0.151360	100067.731400	-2.238521
2025-01-21 00:00:00	0.040480	0.030523	101617.436279	0.369047
2025-01-22 00:00:00	-0.023488	0.004407	102542.568604	-1.974990
2025-01-23 00:00:00	0.002963	0.086028	102904.971039	-1.248100
2025-01-24 00:00:00	0.008266	0.174125	103142.336502	-0.172634
2025-01-25 00:00:00	-0.001000	0.261334	103547.219177	-0.319411
2025-01-26 00:00:00	-0.019407	0.337972	103981.927597	-1.299269
2025-01-27 00:00:00	-0.005793	0.406523	104224.928726	-1.442295
2025-01-28 00:00:00	-0.007398	0.445003	104231.097412	-1.607494
2025-01-29 00:00:00	0.023396	0.472243	103982.384781	0.981142
2025-01-30 00:00:00	0.009952	0.537681	103476.301926	1.838761
2025-01-31 00:00:00	-0.022249	0.608157	102929.954178	-0.391398
2025-02-01 00:00:00	-0.017080	0.606099	102689.795609	-1.239349
2025-02-02 00:00:00	-0.029476	0.607364	102815.668488	-2.571345
2025-02-03 00:00:00	0.038044	0.622424	102901.241608	1.093848
2025-02-04 00:00:00	-0.034846	0.592398	102466.038681	-1.496079
2025-02-05 00:00:00	-0.012837	0.524988	101493.690140	-1.338574
2025-02-06 00:00:00	-0.000229	0.401668	100402.700821	-0.095646
2025-02-07 00:00:00	-0.000665	0.352829	99490.526993	0.973759
2025-02-08 00:00:00	-0.000483	0.269243	98677.929703	1.316143
2025-02-09 00:00:00	0.000183	0.190075	97856.032120	1.095993
